date,time_slot,room_id,occupancy,fan_status,light_status,ac_status,projector_status,power_consumption_w,day_of_week,is_break_period,is_after_hours,wastage_label
02-02-2026,2:00 PM,Class1,1,1,1,0,0,460,Monday,0,0,0
02-02-2026,3:00 PM,Lab1,1,1,1,0,0,460,Monday,0,0,0
02-02-2026,4:30 PM,Lab2,0,1,1,0,0,460,Monday,0,1,1
02-02-2026,4:30 PM,Class3,0,1,1,0,0,460,Monday,0,1,1
02-02-2026,9:00 AM,Lab2,0,0,0,0,0,0,Monday,0,0,0
02-02-2026,12:30 PM,Lab1,1,0,1,0,0,160,Monday,0,0,0
03-02-2026,2:30 PM,Lab1,1,1,1,0,1,760,Tuesday,0,0,0
03-02-2026,3:30 PM,Lab1,1,1,1,0,1,760,Tuesday,0,0,0
04-02-2026,1:00 PM,Class3,1,1,1,0,1,760,Wednesday,1,0,0
04-02-2026,2:00 PM,Lab2,1,1,1,0,0,460,Wednesday,0,0,0
04-02-2026,9:30 AM,Class1,1,0,1,0,1,460,Wednesday,0,0,0
04-02-2026,10:30 AM,Class2,0,1,1,0,0,460,Wednesday,1,0,1
04-02-2026,11:30 AM,Class2,1,0,1,0,1,460,Wednesday,0,0,0
04-02-2026,12:30 PM,Lab1,0,0,0,0,0,0,Wednesday,0,0,0
05-02-2026,1:30 PM,Class2,0,1,1,0,0,460,Thursday,1,0,1
05-02-2026,3:30 PM,Lab1,0,1,1,0,0,460,Thursday,0,0,1
05-02-2026,4:00 PM,Class3,0,1,0,0,0,300,Thursday,0,1,1
05-02-2026,9:00 AM,Lab2,1,1,1,0,1,760,Thursday,0,0,0
05-02-2026,12:00 PM,Class3,1,1,1,0,1,760,Thursday,0,0,0
09-02-2026,1:00 PM,Class2,0,1,0,0,0,300,Monday,1,0,1
09-02-2026,2:30 PM,Lab2,0,1,1,0,0,460,Monday,0,0,1
09-02-2026,3:00 PM,Lab1,1,1,1,0,1,760,Monday,0,0,0
09-02-2026,4:00 PM,Class3,0,1,1,0,0,460,Monday,0,1,1
09-02-2026,4:30 PM,Class2,1,1,1,0,0,460,Monday,0,1,0
